cliente,produtos
Cliente 1,"arroz organico, quinoa, azeite extra virgem, salmao fresco, brocolis, couve, chia, whey protein"
Cliente 2,"cerveja, refrigerante, salgadinhos, pizza congelada, sorvete, chocolate, batata frita"
Cliente 3,"fraldas, lencos umedecidos, papinha de bebe, leite em po, shampoo infantil, pomada assaduras"
Cliente 4,"racao premium para gatos, areia sanitaria, petiscos naturais, shampoo para pets, brinquedos"
Cliente 5,"suplementos vitaminicos, barras de proteina, isotonicos, pasta de amendoim, aveia, batata doce"
Cliente 6,"cafe especial, queijos importados, vinhos, paes artesanais, azeite trufado, chocolate belga"
Cliente 7,"macarrao instantaneo, arroz, feijao, oleo, sal, acucar, cafe soluvel, biscoito cream cracker"
Cliente 8,"produtos veganos, leite de amendoas, tofu, hamburguer vegetal, tahine, nutritional yeast"
Cliente 9,"farinha de trigo, fermento, ovos, leite, manteiga, acucar, essencia de baunilha, confeitos"
Cliente 10,"produtos diet, adocante, geleia zero acucar, pao integral light, iogurte desnatado, frutas"
